condition,food,warning,explanation
hepatic damage of diabetes,grape seed procyanidin b2 ( gspb2 ),safe,Our previous studies have verified that grape seed procyanidin B2 (GSPB2) played a protective effect on hepatic damage of diabetes.
cvd,cheese,safe,"In subgroup analysis, cheese and yogurt consumptions were associated with decreased CVD risk (OR = 0.87, 95% CI = 0.80-0.94 for cheese and OR = 0."
Hypertension,Biscuits,safe,Biscuits may support balanced diet for hypertension.
ad,wine,safe,We also showed that moderate consumption of wine was associated with a lower risk of developing AD.
human disease,yogurt,safe,The judicious use of milk and yogurt could prevent a high proportion of human disease.
Prediabetes,frozen meal (containing meat and vegetables),can worsen,frozen meal (containing meat and vegetables) with serving size 312.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
wound,curcuma longa,safe,"Curcumin is a naturally occurring polyphenol found in Curcuma longa with multiple therapeutic properties, such as anti-inflammatory, wound healing and anti-cancer effects."
Hypertension,raw vegetables,safe,raw vegetables is nutritious and may help manage hypertension.
peripheral vascular disease,ginkgo biloba,safe,"The extract from Ginkgo biloba leaves has become a very popular plant medicine and herbal supplement for its potential benefit in alleviating symptoms associated with peripheral vascular disease, dementia, asthma and tinnitus."
Prediabetes,beet greens/collards/cress/romaine/greens/spinach,safe,beet greens/collards/cress/romaine/greens/spinach may support balanced diet for prediabetes.
diabetic,guava tea,safe,"Polyphenols from coffee, guava tea, whortleberry, olive oil, propolis, chocolate, red wine, grape seed, and cocoa have been reported to show anti-diabetic effects in T2D patients through increasing glucose metabolism, improving vascular function as well as reducing insulin resistance and HbA1c level."
seizures,ketogenic diet,safe,The ketogenic diet is an effective alternative therapy used to control intractable seizures.
malnutrition,selective nutrition,safe,Selective nutrition therapy for ASD and brain function shows improvement in behavioral changes and reduction in malnutrition seemingly associated with the allergies or food intolerances to gluten.
neural tube defects,folic acid,safe,"Consumption of adequate amounts of folic acid by women before pregnancy and during early pregnancy decreases their risk for having a pregnancy affected by neural tube defects (NTDs), the most common preventable type of birth defects worldwide."
respiratory symptoms,ammonia,dangerous,"High endotoxin, ammonia, and dust levels contribute to acute and chronic respiratory symptoms in people who work in these settings."
Hypertension,Pancakes/waffles,safe,Pancakes/waffles may support balanced diet for hypertension.
hypertension,fruit,safe,"An increased consumption of vegetables and fruit reduces the risk of hypertension, coronary heart disease, stroke, and cancer."
neural tube defects,folic,safe,There is evidence that adequate amounts of folic acid supply to women before and during early pregnancy decreases the risk of having a neural tube defects affected child.
dementia,alcohol,safe,"Evidence suggests that consuming light-to-moderate amounts of alcohol reduces the risk of dementia and is associated better cognitive function and less cardiovascular disease, relative to those consuming no or heavy alcohol."
asthma,ginger,safe,"Curcumin, is a polyphenol from Curcuma longa (turmeric plant), is a polyphenol that belongs to the ginger family which has long been used in Ayurveda medicines to treat various diseases such as asthma, anorexia, coughing, hepatic diseases, diabetes, heart diseases, wound healing and Alzheimer's."
obesity,certain foods,dangerous,"Portion sizes for certain foods have been increasing dramatically in recent years alongside obesity rates, concurring with the phenomenon of the portion size effect (more is consumed when more is offered)."
Prediabetes,oil,safe,oil may support balanced diet for prediabetes.
pain,curcuma longa,safe,"Turmeric (Curcuma longa) has traditionally been used to treat pain, fever, allergic and inflammatory diseases such as bronchitis, arthritis, and dermatitis."
cancer,garlic,safe,"Epidemiological evidence indicates that a high dietary intake of plants of the Allium family, such as garlic and onions, is associated with a decreased risk of cancer in humans."
Prediabetes,Burrito/Taco/Enchilada/Pizza/lasanga,safe,Burrito/Taco/Enchilada/Pizza/lasanga may support balanced diet for prediabetes.
Prediabetes,Pork,can worsen,Pork with serving size 84.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
cancer,psidium guajava,safe,"Psidium Guajava is a promising functional food against cancer, owing to a variety of bioactive compounds."
Prediabetes,Bread,safe,Bread may support balanced diet for prediabetes.
gut dysbiosis,fermented foods,safe,"Regular consumption of fermented foods (e.g., kimchi, kefir, etc.) may represent a potential avenue to counter the proinflammatory effects of gut dysbiosis."
epilepsy,ketogenic diet,safe,"First identified as a feasible treatment for intractable epilepsy, the ketogenic diet (KD) has recently gained popularity thanks to growing evidence on applications such as weight loss, most importantly, but also NAFLD, cancer, neurologic conditions and chronic pain."
Prediabetes,Cakes/cookies/pies,can worsen,Cakes/cookies/pies with serving size 28.4g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
haemotoxicity,fava beans,dangerous,"Fava beans (FBs) have long been used as food, and their principal disadvantage is derived from their haemotoxicity."
fracture,milk,safe,"In adult Caucasian women, daily intake of 200-250 ml of milk is associated with a reduction in fracture risk of 5 % or higher."
Hypertension,Chicken/Turkey,can worsen,Chicken/Turkey with serving size 110.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Hypertension,Ice Cream,can worsen,Ice Cream with serving size 130.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Hypertension,shakes/drink mixes,can worsen,shakes/drink mixes with serving size 166.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Prediabetes,raw apple/apricot/avocado/banana/cantaloupe/cherries/fig/grapes/mango/pear/pineapple/,safe,raw apple/apricot/avocado/banana/cantaloupe/cherries/fig/grapes/mango/pear/pineapple/ may support balanced diet for prediabetes.
metabolic diseases,excessive sugar consumption,safe,"Since excessive sugar consumption has been related to the development of chronic metabolic diseases prevalent in the western world, the use of sweeteners has gradually increased worldwide over the last few years."
Hypertension,Cheese,can worsen,Cheese with serving size 32.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
neurodegenerative disorders,extra virgin olive oil,safe,"In the central nervous system (CNS), extra virgin olive oil (EVOO) produces interesting effects against neurodegenerative disorders including Alzheimer's disease (AD)."
atherosclerosis,milk,dangerous,Milk is often seen as a potential promotor of atherosclerosis and coronary heart disease because it is a source of cholesterol and saturated fatty acids.
inflammation,beer,safe,"We previously demonstrated that the consumption of iso-ÃÂÃÂÃÂÃÂ±-acids (IAA), the hop-derived bitter compounds in beer, prevents inflammation and Alzheimer's disease pathology in model mice."
"diabetic liver, kidney, eye, and neural system complications",ginger,safe,"Ginger has shown prominent protective effects on diabetic liver, kidney, eye, and neural system complications."
nausea,ginger,safe,Vitamin B6 and ginger are both effective for nausea and vomiting in early pregnancy.
Prediabetes,Seeds,safe,Seeds may support balanced diet for prediabetes.
hyperglycemia,honeybush tea,safe,These results imply that the sequential extracts of honeybush tea (particularly the aqueous and ethyl acetate extracts) may not only exhibit antioxidant potentials but also mediate anti-hyperglycemia activities by inhibiting lipid and carbohydrate digestion.
obesity-linked metabolic diseases,blueberries,safe,"Blueberry consumption can prevent obesity-linked metabolic diseases, and it has been proposed that the polyphenol content of blueberries may contribute to these effects."
knee osteoarthritis,milk consumption,safe,Observational studies showed inverse associations between milk consumption and knee osteoarthritis (knee OA).
