medicine,food,interaction,warning,explanation
ciprofloxacin,rasmalai,safe,no major risk,Rasmalai with ciprofloxacin generally poses no significant problem when consumed in moderation.
tacrolimus,idli,safe,no major risk,Idli with tacrolimus generally poses no significant problem when consumed in moderation.
gliclazide,sweet potato,safe,no major risk,Sweet potato with gliclazide generally poses no significant problem when consumed in moderation.
ciprofloxacin,idli,safe,no major risk,Idli with ciprofloxacin generally poses no significant problem when consumed in moderation.
omeprazole,bread,safe,no major risk,Bread with omeprazole generally poses no significant problem when consumed in moderation.
paracetamol,dal makhani,safe,no major risk,Dal makhani with paracetamol generally poses no significant problem when consumed in moderation.
omeprazole,rasmalai,safe,no major risk,Rasmalai with omeprazole generally poses no significant problem when consumed in moderation.
apixaban,alcohol,safe,no major risk,Alcohol with apixaban generally poses no significant problem when consumed in moderation.
glimepiride,fish curry,safe,no major risk,Fish curry with glimepiride generally poses no significant problem when consumed in moderation.
rivaroxaban,dried apricots,safe,no major risk,Dried apricots with rivaroxaban generally poses no significant problem when consumed in moderation.
insulin,jalebi,safe,no major risk,Jalebi with insulin generally poses no significant problem when consumed in moderation.
amlodipine,mutton curry,safe,no major risk,Mutton curry with amlodipine generally poses no significant problem when consumed in moderation.
fenofibrate,cranberry,safe,no major risk,Cranberry with fenofibrate generally poses no significant problem when consumed in moderation.
pravastatin,paneer butter masala,safe,no major risk,Paneer butter masala with pravastatin generally poses no significant problem when consumed in moderation.
diclofenac,kheer,safe,no major risk,Kheer with diclofenac generally poses no significant problem when consumed in moderation.
telmisartan,kadhi,safe,no major risk,Kadhi with telmisartan generally poses no significant problem when consumed in moderation.
warfarin,garlic,safe,no major risk,Garlic with warfarin generally poses no significant problem when consumed in moderation.
cetirizine,dark chocolate,safe,no major risk,Dark chocolate with cetirizine generally poses no significant problem when consumed in moderation.
clopidogrel,spring rolls,safe,no major risk,Spring rolls with clopidogrel generally poses no significant problem when consumed in moderation.
insulin,multigrain roti,safe,no major risk,Multigrain roti with insulin generally poses no significant problem when consumed in moderation.
fluoxetine,mutton curry,safe,no major risk,Mutton curry with fluoxetine generally poses no significant problem when consumed in moderation.
tranylcypromine,ice cream,safe,no major risk,Ice cream with tranylcypromine generally poses no significant problem when consumed in moderation.
fenofibrate,quinoa,safe,no major risk,Quinoa with fenofibrate generally poses no significant problem when consumed in moderation.
sitagliptin,grapefruit juice,safe,no major risk,Grapefruit juice with sitagliptin generally poses no significant problem when consumed in moderation.
digoxin,veg biryani,safe,no major risk,Veg biryani with digoxin generally poses no significant problem when consumed in moderation.
fluconazole,amla,safe,no major risk,Amla with fluconazole generally poses no significant problem when consumed in moderation.
apixaban,edamame,safe,no major risk,Edamame with apixaban generally poses no significant problem when consumed in moderation.
cetirizine,peda,safe,no major risk,Peda with cetirizine generally poses no significant problem when consumed in moderation.
fenofibrate,dosa,safe,no major risk,Dosa with fenofibrate generally poses no significant problem when consumed in moderation.
fenofibrate,peda,safe,no major risk,Peda with fenofibrate generally poses no significant problem when consumed in moderation.
aspirin,potato,safe,no major risk,Potato with aspirin generally poses no significant problem when consumed in moderation.
diphenhydramine,mysore pak,safe,no major risk,Mysore pak with diphenhydramine generally poses no significant problem when consumed in moderation.
pioglitazone,dosa,safe,no major risk,Dosa with pioglitazone generally poses no significant problem when consumed in moderation.
clarithromycin,peda,safe,no major risk,Peda with clarithromycin generally poses no significant problem when consumed in moderation.
telmisartan,grapes,safe,no major risk,Grapes with telmisartan generally poses no significant problem when consumed in moderation.
tacrolimus,multigrain roti,safe,no major risk,Multigrain roti with tacrolimus generally poses no significant problem when consumed in moderation.
carbamazepine,ramen,safe,no major risk,Ramen with carbamazepine generally poses no significant problem when consumed in moderation.
isocarboxazid,papaya,safe,no major risk,Papaya with isocarboxazid generally poses no significant problem when consumed in moderation.
levothyroxine,coconut water,safe,no major risk,Coconut water with levothyroxine generally poses no significant problem when consumed in moderation.
magnesium supplements,spinach,safe,no major risk,Spinach with magnesium supplements generally poses no significant problem when consumed in moderation.
itraconazole,mysore pak,safe,no major risk,Mysore pak with itraconazole generally poses no significant problem when consumed in moderation.
dabigatran,spring rolls,safe,no major risk,Spring rolls with dabigatran generally poses no significant problem when consumed in moderation.
cetirizine,maggi noodles,safe,no major risk,Maggi noodles with cetirizine generally poses no significant problem when consumed in moderation.
cetirizine,red wine,safe,no major risk,Red wine with cetirizine generally poses no significant problem when consumed in moderation.
fenofibrate,sauerkraut,safe,no major risk,Sauerkraut with fenofibrate generally poses no significant problem when consumed in moderation.
simvastatin,dates,safe,no major risk,Dates with simvastatin generally poses no significant problem when consumed in moderation.
rivaroxaban,french fries,safe,no major risk,French fries with rivaroxaban generally poses no significant problem when consumed in moderation.
citalopram,licorice,safe,no major risk,Licorice with citalopram generally poses no significant problem when consumed in moderation.
tetracycline,ramen,safe,no major risk,Ramen with tetracycline generally poses no significant problem when consumed in moderation.
citalopram,whole wheat roti,safe,no major risk,Whole wheat roti with citalopram generally poses no significant problem when consumed in moderation.
pantoprazole,veg biryani,safe,no major risk,Veg biryani with pantoprazole generally poses no significant problem when consumed in moderation.
fluoxetine,kheer,safe,no major risk,Kheer with fluoxetine generally poses no significant problem when consumed in moderation.
insulin,fermented tofu,safe,no major risk,Fermented tofu with insulin generally poses no significant problem when consumed in moderation.
